Train Number,Train Code,Halts
KP 1,"95001
","CSMT, BY, DR, CLA, GC, TNA, DI, KYN"
K 3,"95701
","CSMT, BY, DR, CLA, GC, TNA, DI, KYN"
S 5,"95101
","CSMT, BY, DR, CLA, GC, TNA, DI, KYN"
K 5,"95703
","CSMT, BY, DR, CLA, GC, TNA, DI, KYN"
S 7,"95103
","CSMT, BY, DR, CLA, GC, TNA, DW, DI, KYN"
BL 1,"95201
","CSMT, BY, DR, CLA, VK, MLND, TNA, DI, KYN"
S 9,"95105
","CSMT, BY, DR, CLA, GC, MLND, TNA, DI, KYN"
N 7,"95401
","CSMT, BY, DR, CLA, GC, MLND, TNA, DW, DI, KYN"
BL 3,95203 ,"CSMT, BY, DR, CLA, GC, BND, TNA, DI, KYN"
K 11,95705 ,"CSMT, BY, DR, CLA, GC, BND, TNA, DI, KYN"
AN 5,95501 ,"CSMT, BY, DR, CLA, GC, MLND, TNA, DI, KYN"
KP 3,"95003
","CSMT, BY, DR, CLA, GC, MLND, TNA, DI, KYN"
K 17,"95707
","CSMT, BY, DR, CLA, GC, TNA, DI, KYN"
BL 5,"95205
","CSMT, BY, DR, CLA, GC, MLND, TNA, DW, DI, KYN"
T 15,"95901
","CSMT, BY, DR, CLA, GC, TNA"
S 11,"95107
","CSMT, BY, DR, CLA, GC, TNA, DW, DI, KYN"
DA 1,"95301
","DR, CLA, GC, BND, TNA, DI, KYN"
N 9,"95403
","CSMT, BY, DR, CLA, GC, MLND, TNA, DI, KYN"
K 23,"95709
","CSMT, BY, DR, CLA, GC, MLND, TNA, DI, KYN"
A 9,"95303
","CSMT, BY, DR, CLA, GC, BND, TNA, DI, KYN"
T 25,"95903
","CSMT, BY, DR, CLA, VK, MLND, TNA"
BL 7,"95207
","CSMT, BY, DR, CLA, GC, MLND, TNA, DI, KYN"
K 27,"95711
","CSMT, BY, DR, CLA, GC, BND, TNA, DI, KYN"
S 13,"95109
","CSMT, BY, DR, CLA, GC, BND, TNA, DI, KYN"
T 29,"95905
","CSMT, DR, CLA, MLND, TNA"
BL 9,"95209
","CSMT, BY, DR, CLA, GC, VK, MLND, TNA, DI, KYN"
TL 11,"95601
","CSMT, BY, DR, CLA, GC, BND, TNA, DI, KYN"
A 11,"95305
","CSMT, BY, DR, CLA, GC, BND, TNA, DI, KYN"
AN 9,"95503
","CSMT, BY, DR, CLA, GC, BND, TNA, DI, KYN"
BL 11,"95211
","CSMT, BY, DR, CLA, GC, BND, TNA, DI, KYN"
TL 13,"95603
","CSMT, BY, DR, CLA, GC, VK, MLND, TNA, DI, KYN"
S 15,"95111
","CSMT, BY, DR, CLA, GC, BND, TNA, DI, KYN"
N 11,"95405
","CSMT, BY, DR, CLA, GC, MLND, TNA, DW, DI, KYN"
TL 15,"95605
","CSMT, BY, DR, CLA, GC, MLND, TNA, DW, DI, KYN"
T 37,95907 ,"CSMT, DR, CLA, GC, MLND, TNA"
BL 13,95213 ,"CSMT, BY, DR, CLA, GC, VK, MLND, TNA, DI, KYN"
A 13,95307 ,"CSMT, BY, DR, CLA, VK, MLND, TNA, DI, KYN"
S 17,95113 ,"CSMT, BY, DR, CLA, GC, TNA, DW, DI, KYN"
K 37,"95713
","CSMT, BY, DR, CLA, GC, TNA, DI, KYN"
BL 15,"95215
","CSMT, BY, DR, CLA, GC, VK, MLND, TNA, DI, KYN"
A 15,"95309
","CSMT, BY, DR, CLA, GC, BND, TNA, DI, KYN"
N 13,"95407
","CSMT, BY, DR, CLA, GC, MLND, TNA, DW, DI, KYN"
BL 17,"95217
","CSMT, BY, DR, CLA, GC, VK, MLND, TNA, DI, KYN"
A 17,"95311
","CSMT, BY, DR, CLA, GC, BND, TNA, DW, DI, KYN"
DK 1,"95715
","DR, CLA, GC, TNA, DI, KYN"
S 19,"95115
","CSMT, BY, DR, CLA, GC, BND, TNA, DI, KYN"
BL 19,"95219
","CSMT, BY, DR, CLA, GC, VK, MLND, TNA, DI, KYN"
TL 19,"95607
","CSMT, BY, DR, CLA, GC, MLND, TNA, DI, KYN"
