Record Number,CSMTH,MSDH,SNRDH,DKRD,RRD,CTGN,SVE,VDLR,KCE,MM,BA,KHR,STC,VLP,ADH,JOS,RMAR,GMN
1,0,1252,1096,692,1252,1045,1772,2115,1957,1510,1605,1691,1627,1830,2199,2317,1228,1446
2,0,1258,1097,693,1251,1046,1773,2114,1958,1507,1605,1692,1629,1827,2201,2316,1228,1444
3,0,1260,1098,692,1252,1046,1773,2114,1960,1510,1602,1693,1627,1830,2202,2317,1230,1444
4,0,1258,1097,692,1253,1045,1773,2115,1958,1508,1604,1694,1627,1828,2200,2318,1228,1446
5,0,1253,1092,691,1254,1046,1776,2116,1961,1508,1606,1694,1627,1830,2200,2320,1226,1446
6,0,1260,1099,693,1252,1049,1775,2116,1960,1510,1606,1694,1625,1831,2203,2316,1228,1442
7,0,1258,1103,694,1259,1050,1780,2124,1966,1514,1612,1699,1633,1837,2208,2324,1232,1449
8,0,1255,1102,698,1258,1050,1780,2122,1965,1513,1612,1695,1634,1837,2208,2323,1231,1450
9,0,1265,1103,694,1254,1051,1777,2124,1965,1515,1610,1699,1632,1837,2208,2323,1232,1449
10,0,1253,1092,691,1254,1046,1776,2116,1961,1508,1606,1694,1627,1830,2200,2320,1226,1446
11,0,1260,1099,693,1252,1049,1775,2116,1960,1510,1606,1694,1625,1831,2203,2316,1228,1442
12,0,1251,1097,692,1250,1044,1773,2114,1957,1505,1603,1692,1623,1827,2199,2310,1224,1440
13,0,1251,1096,691,1250,1046,1772,2112,1957,1506,1605,1690,1625,1826,2198,2309,1225,1442
14,0,1257,1098,691,1251,1045,1773,2115,1954,1507,1604,1690,1625,1824,2198,2308,1224,1442
15,0,1257,1102,695,1256,1049,1780,2121,1966,1513,1613,1697,1631,1835,2207,2324,1233,1447
16,0,1253,1102,696,1255,1050,1778,2123,1965,1517,1609,1698,1630,1834,2209,2323,1231,1450
17,0,1256,1101,695,1256,1051,1779,2121,1967,1513,1609,1699,1631,1833,2211,2324,1229,1448
18,0,1261,1095,692,1251,1045,1774,2113,1957,1508,1603,1691,1625,1828,2198,2315,1227,1439
19,0,1257,1099,690,1251,1045,1772,2113,1958,1506,1601,1692,1625,1828,2198,2315,1227,1441
