Record Number,CSMT,BY,PR,DR,MTN,SION,CLA,GC,VK,BND,MLND,TNA,KLVA,MBQ,DW,DI,KYN,SHD,ABY,TLA,KDV,VSD,ASO,ATG,THS,KE,OMB,KSRA
1,0,4225,,4841,,,6445,3806,,,,13911,,,,15150,4979,3047,3050,4731,7643,7592,5954,9678,5952,6141,6444,6901
2,0,4197,,4856,,,6461,3814,,,11290,2651,,,,15177,5019,3035,3043,4714,7620,7566,5936,9649,5929,6122,6423,6884
3,0,4225,,4838,,,6446,3807,,,11271,2642,,,,15154,5014,3049,3053,4731,7646,7596,5957,9680,5952,6142,6445,6903
4,0,4222,,4847,,,6448,3808,,,11280,2653,,,,15158,5018,3123,3054,4732,7647,7595,5959,9678,5950,6143,6445,6905
5,0,4188,,4830,,,6426,3804,3685,,7568,2640,,,,15135,5008,3051,3048,4728,7645,7595,5959,9679,5951,6144,6445,6903
6,0,4183,,4841,,,6451,3805,,7401,,6523,,,,15152,4975,3048,3051,4733,7643,7596,5959,9679,5950,6143,6445,6891
7,0,,,,,,6517,3805,,,11278,2644,,,,,,3037,3042,4714,7617,7567,5936,9643,5929,6122,6421,6873
8,0,4237,,4852,,,6459,3811,,,,13934,,,,15164,5090,3034,3041,4715,7620,7567,5935,9643,5933,6119,6422,6877
9,0,4236,,4855,,,6462,3815,,,11278,2648,,,9351,5826,5092,3113,3050,4726,7634,7583,5947,9673,5945,6137,6439,6903
10,0,4236,,4855,,,6460,3814,,7404,,6531,,,,15177,5014,,,,,,,,,,,
11,0,4229,,4849,,,6454,3806,,,11273,2645,,,,15154,4996,,,,,,,,,,,
12,0,4227,,4849,,,6450,3809,,,,13915,,,,15148,5011,,,,,,,,,,,
13,0,4230,,4849,,,6452,3807,,,,13918,,,9335,5819,5010,,,,,,,,,,,
14,0,4228,,4850,,,6452,3808,3693,,7577,2645,,,,15152,4996,,,,,,,,,,,
15,0,4229,,4847,,,6452,3807,,,11270,2645,,,,15151,5009,,,,,,,,,,,
16,0,4190,,4847,,,6453,3809,,,,13916,,,,15150,4976,,,,,,,,,,,
17,0,4214,,4827,,,6424,3802,,,11255,2640,,,,15127,5005,,,,,,,,,,,
18,0,4217,,4827,,,6426,3799,,,11255,2646,,,9317,5809,4973,,,,,,,,,,,
19,0,4222,,4842,,,6445,3802,,,11113,2642,,,,15005,4995,,,,,,,,,,,
20,0,4231,,4841,,,6446,,7513,,,10240,,,,15177,5017,,,,,,,,,,,
21,0,4196,,4845,,,6446,,7512,,7592,2650,,6936,,8244,5017,,,,,,,,,,,
22,0,4233,,4845,,,6452,,7511,,,10238,,,,15176,5089,,,,,,,,,,,
23,0,,,9178,,,,,,,,24453,,,,,,,,,,,,,,,,
24,0,4236,,4853,,,6458,3813,,,11293,2649,,,,15184,4983,,,,,,,,,,,
25,0,4164,,4932,,,6460,3815,3701,,7592,2650,,,,15184,5016,,,,,,,,,,,
26,0,4235,,4854,,,6457,3814,,,,13944,,,,15187,4986,,,,,,,,,,,
27,0,4224,,4836,,,6435,3803,,,,13897,,,,15131,5002,,,,,,,,,,,
28,0,,,,,,6507,3806,,7380,,6515,,,,15134,4971,,,,,,,,,,,
29,0,4191,,4806,,,6391,3776,,,,13794,,,9262,5769,4923,,,,,,,,,,,
30,0,4224,,4839,,,6435,3802,,,11260,2641,,,9329,5805,5005,,,,,,,,,,,
31,0,4226,,4842,,,6432,3803,,,11264,2644,,,,,,,,,,,,,,,,
32,0,4270,,4905,,,6525,3851,,,,13986,,,,,,,,,,,,,,,,
33,0,4195,,4983,,,6526,,7591,,7661,2674,,,,15330,5028,,,,,,,,,,,
34,0,4277,,4903,,,6526,3851,,,,13858,,,,,,,,,,,,,,,,
35,0,4184,,4988,,,6524,3854,3736,,7665,2674,,,,15329,5069,,,,,,,,,,,
36,0,,,,,,6596,3853,,7481,,6598,,,,15324,5055,,,,,,,,,,,
37,0,,,8962,,,6449,3809,,,11286,2554,,,,,,,,,,,,,,,,
