Record Number,CSMT,BY,PR,DR,MTN,SION,CLA,GC,VK,BND,MLND,TNA,KLVA,MBQ,DW,DI,KYN,VLDI,ULNR,ABH,BUD,VGI,SHELU,NRL,BVS,KJT,PDI,KLY,DLY,LWJ,KHPI
1,0,4225,,4841,,,6445,3806,,,,13911,,,,15150,4979,2100,1957,2413,7672,10738,3988,4055,6665,6676,3072,4313,1261,3174,2493
2,0,4197,,4856,,,6461,3814,,,11290,2651,,,,15177,5019,2101,1955,2414,7669,10741,3990,4057,6665,6793,3075,4310,1261,3176,2495
3,0,4225,,4838,,,6446,3807,,,11271,2642,,,,15154,5014,2200,1959,2414,7669,10744,3992,4058,6665,6676,3018,4243,1237,3124,2457
4,0,4222,,4847,,,6448,3808,,,11280,2653,,,,15158,5018,2106,1963,2415,7639,,,,,,3024,4244,1241,3123,2453
5,0,4188,,4830,,,6426,3804,3685,,7568,2640,,,,15135,5008,2213,1966,2417,7688,10784,4007,4062,6690,6706,,,,,
6,0,4183,,4841,,,6451,3805,,7401,,6523,,,,15152,4975,2110,1967,2418,7685,10785,4004,4068,6689,6822,,,,,
7,0,,,,,,6517,3805,,,11278,2644,,,,,,2187,1963,2416,7681,10772,4002,4065,6680,6695,,,,,
8,0,4237,,4852,,,6459,3811,,,,13934,,,,15164,5090,2177,1962,2416,7680,,,,,,,,,,
9,0,4236,,4855,,,6462,3815,,,11278,2648,,,9351,5826,5092,2108,1963,2417,7679,,,,,,,,,,
10,0,4236,,4855,,,6460,3814,,7404,,6531,,,,15177,5014,2175,1963,2417,7682,10773,4001,4063,6681,6696,,,,,
11,0,4229,,4849,,,6454,3806,,,11273,2645,,,,15154,4996,2187,1962,2416,7675,,,,,,,,,,
12,0,4227,,4849,,,6450,3809,,,,13915,,,,15148,5011,2209,1963,2416,7677,10770,4001,4061,6680,6699,,,,,
13,0,4230,,4849,,,6452,3807,,,,13918,,,9335,5819,5010,2108,1963,2415,7679,10769,4000,4060,6680,6693,,,,,
14,0,4228,,4850,,,6452,3808,3693,,7577,2645,,,,15152,4996,2209,1962,2415,7679,10768,4000,4061,6681,6692,,,,,
15,0,4229,,4847,,,6452,3807,,,11270,2645,,,,15151,5009,2072,1928,2375,7548,,,,,,,,,,
16,0,4190,,4847,,,6453,3809,,,,13916,,,,15150,4976,2142,1930,2374,7554,10594,3933,3994,6569,6713,,,,,
17,0,4214,,4827,,,6424,3802,,,11255,2640,,,,15127,5005,2142,1928,2377,7558,,,,,,,,,,
18,0,4217,,4827,,,6426,3799,,,11255,2646,,,9317,5809,4973,2071,1928,2438,,,,,,,,,,,
19,0,4222,,4842,,,6445,3802,,,11113,2642,,,,15005,4995,2176,1964,2415,7638,,,,,,,,,,
20,0,4231,,4841,,,6446,,7513,,,10240,,,,15177,5017,2087,1962,2492,,,,,,,,,,,
21,0,4196,,4845,,,6446,,7512,,7592,2650,,6936,,8244,5017,2189,1963,2479,,,,,,,,,,,
22,0,4233,,4845,,,6452,,7511,,,10238,,,,15176,5089,2213,1966,2417,7688,10784,4007,4062,6690,6706,,,,,
23,0,,,9178,,,,,,,,24453,,,,,,2110,1967,2418,7685,10785,4004,4068,6689,6822,,,,,
24,0,4236,,4853,,,6458,3813,,,11293,2649,,,,15184,4983,2107,1963,2415,7640,,,,,,,,,,
25,0,4164,,4932,,,6460,3815,3701,,7592,2650,,,,15184,5016,2108,1965,2416,7687,10778,4004,4066,6686,6700,,,,,
26,0,4235,,4854,,,6457,3814,,,,13944,,,,15187,4986,2109,1966,2415,7642,,,,,,,,,,
27,0,4224,,4836,,,6435,3803,,,,13897,,,,15131,5002,2109,1963,2417,7643,,,,,,,,,,
28,0,,,,,,6507,3806,,7380,,6515,,,,15134,4971,2207,1959,2412,7625,,,,,,,,,,
29,0,4191,,4806,,,6391,3776,,,,13794,,,9262,5769,4923,2105,1960,2411,7669,10751,3994,4056,6669,6682,,,,,
30,0,4224,,4839,,,6435,3802,,,11260,2641,,,9329,5805,5005,2180,1966,2415,7686,,,,,,,,,,
31,0,4226,,4842,,,6432,3803,,,11264,2644,,,,,,2178,1964,2417,7685,10775,4005,4062,6685,6699,,,,,
32,0,4270,,4905,,,6525,3851,,,,13986,,,,,,2090,1964,2415,7685,10775,4004,4066,6683,6698,,,,,
33,0,4195,,4983,,,6526,,7591,,7661,2674,,,,15330,5028,2092,1965,2415,7684,,,,,,,,,,
34,0,4277,,4903,,,6526,3851,,,,13858,,,,,,2171,1955,2470,,,,,,,,,,,
35,0,4184,,4988,,,6524,3854,3736,,7665,2674,,,,15329,5069,2082,1958,2482,,,,,,,,,,,
36,0,,,,,,6596,3853,,7481,,6598,,,,15324,5055,2185,1968,2484,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,2095,1970,2495,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,2090,1963,2414,7682,10768,4000,4062,6678,6690,,,,,
39,,,,,,,,,,,,,,,,,,2206,1965,2414,7683,10764,4000,4061,6677,6688,,,,,
40,,,,,,,,,,,,,,,,,,2106,1964,2477,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,2180,1961,2479,,,,,,,,,,,
42,0,,8962,,,6449,3809,,,11286,2554,,,,,,,,,,,,,,,,,,,
