Record Number,CSMT,MSD,SNRD,BY,CHG,CRD,PR,DR,MTN,SION,CLA,VVH,GC,VK,KJRD,BND,NHU,MLND,TNA,KLVA,MBQ,DW,KOPR,DI,THK,KYN,VLDI,ULNR,ABH,BUD,VGI,SHELU,NRL,BVS,KJT,PDI,KLY,DLY,LWJ,KHPI
1,0,1244,1174,1734,1171,749,1901,963,1426,2650,2581,2471,1396,3625,1831,1884,1646,2209,2698,2477,4548,2405,4469,1217,1523,3712,2100,1957,2413,7672,10738,3988,4055,6665,6676,3072,4313,1261,3174,2493
2,0,1252,1174,1736,1171,749,1902,962,1428,2649,2580,2474,1395,3628,1829,1885,1646,2211,2696,2477,4548,2404,4471,1218,1521,3509,2101,1955,2414,7669,10741,3990,4057,6665,6793,3075,4310,1261,3176,2495
3,0,1249,1172,1731,1169,751,1899,959,1426,2643,2577,2469,1396,3618,1826,1881,1643,2205,2694,2475,4538,2399,4463,1215,1521,3501,2200,1959,2414,7669,10744,3992,4058,6665,6676,3018,4243,1237,3124,2457
4,0,1251,1175,1734,1171,749,1902,962,1427,2649,2582,2471,1396,3626,1832,1884,1646,2209,2700,2476,4547,2405,4472,1259,1480,3415,2106,1963,2415,7639,,,,,,3024,4244,1241,3123,2453
5,0,1248,1174,1733,1169,750,1898,963,1427,2644,2580,2470,1394,3621,1830,1882,1645,2200,2695,2475,4541,2404,4466,1216,1522,3499,2213,1966,2417,7688,10784,4007,4062,6690,6706,,,,,
6,0,1241,1171,1733,1171,749,1900,962,1426,2643,2582,2469,1394,3621,1827,1883,1643,2201,2692,2477,4541,2404,4467,1219,1518,3494,2110,1967,2418,7685,10785,4004,4068,6689,6822,,,,,
7,0,1239,1173,1733,1169,751,1899,963,1426,2644,2581,2469,1395,3618,1830,1885,1642,2202,2694,2476,4544,2404,4468,1218,1518,3505,2187,1963,2416,7681,10772,4002,4065,6680,6695,,,,,
8,0,0,0,0,0,0,0,0,1426,2644,2580,2475,1393,3624,1832,1886,1643,2203,2694,2478,4545,2404,4468,1263,1477,3500,2177,1962,2416,7680,,,,,,,,,,
9,0,1240,1171,1734,1171,745,1900,961,1419,2644,2576,2471,1394,3618,1830,1880,1644,2211,2671,2435,,,,,,,2108,1963,2417,7679,,,,,,,,,,
10,0,1241,1169,1736,1167,750,1899,961,1423,2641,2576,2470,1391,3620,1827,1882,1644,2204,2695,2473,4540,2403,4463,1215,1521,3501,2175,1963,2417,7682,10773,4001,4063,6681,6696,,,,,
11,0,1248,1173,1731,1169,749,1901,960,1420,2643,2578,2470,1393,3621,1828,1881,1644,2205,2695,2473,4542,2401,4463,1216,,,2187,1962,2416,7675,,,,,,,,,,
12,0,1249,1171,1732,1171,749,1897,962,1419,2643,2577,2468,1395,3622,1828,1883,1640,2206,2455,,,,,,,,2209,1963,2416,7677,10770,4001,4061,6680,6699,,,,,
13,0,1239,1173,1731,1170,745,1901,962,1422,2640,2577,2468,1392,3621,1830,1882,1645,2204,2693,2476,4540,2403,4463,1257,1479,3726,2108,1963,2415,7679,10769,4000,4060,6680,6693,,,,,
14,0,1247,1172,1732,1171,747,1899,962,1419,2643,2576,2468,1393,3620,1829,1882,1644,2205,2694,2477,4535,2404,4464,1256,1475,3707,2209,1962,2415,7679,10768,4000,4061,6681,6692,,,,,
15,0,1250,1173,1733,1170,747,1903,962,1423,2647,2578,2471,1395,3622,1830,1883,1643,2209,2696,,,,,,,,2072,1928,2375,7548,,,,,,,,,,
16,0,1241,1172,1732,1173,748,1900,962,1424,2647,2578,2472,1395,3621,1831,1885,1644,2210,2677,,,,,,,,2142,1930,2374,7554,10594,3933,3994,6569,6713,,,,,
17,0,1241,1173,1733,1170,748,1903,961,1424,2648,2580,2469,1395,3623,1830,1883,1645,2209,2696,2475,4544,2403,4466,1216,1521,3505,2142,1928,2377,7558,,,,,,,,,,
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2488,4544,2402,4467,1214,1523,3711,2071,1928,2438,,,,,,,,,,,
19,0,0,0,0,0,0,0,0,0,0,0,0,1394,3622,1831,1884,1641,2213,2697,2476,4542,2402,4467,1217,1520,3510,2176,1964,2415,7638,,,,,,,,,,
20,0,0,0,0,0,0,0,0,1427,2647,2578,2470,1395,3622,1830,1884,1643,2210,2697,2475,4545,2402,4465,1259,1481,3505,2087,1962,2492,,,,,,,,,,,
21,0,1241,1174,1734,1169,749,1901,960,1425,2647,2580,2470,1395,3623,1828,1883,1643,2211,2455,,,,,,,,2189,1963,2479,,,,,,,,,,,
22,0,1248,1175,1733,1170,746,1905,960,1426,2645,2578,2472,1394,3622,1833,1881,1644,2208,2696,2478,4543,2404,4467,1215,1520,3503,2213,1966,2417,7688,10784,4007,4062,6690,6706,,,,,
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4538,2402,4465,1258,1478,3761,2110,1967,2418,7685,10785,4004,4068,6689,6822,,,,,
24,0,0,0,0,0,0,0,0,0,0,0,0,1395,3623,1831,1882,1645,2209,2698,2474,4547,2404,4468,1216,,,2107,1963,2415,7640,,,,,,,,,,
25,0,1252,1172,1735,1169,748,1902,962,1427,2648,2577,2472,1396,3622,1832,1882,1645,2211,2695,2477,4548,2404,,5680,,,2108,1965,2416,7687,10778,4004,4066,6686,6700,,,,,
26,0,0,0,0,0,0,0,988,1425,2650,2580,2469,1396,3624,1830,1882,1646,2210,2696,2476,4547,2405,4466,1219,,,2109,1966,2415,7642,,,,,,,,,,
27,0,1240,1175,1734,1170,747,1904,961,1424,2652,2578,2471,1395,3624,1831,1883,1645,2210,2677,,,,,,,,2109,1963,2417,7643,,,,,,,,,,
28,0,1251,1173,1735,1171,748,1903,960,1425,2648,2577,2472,1394,3623,1832,1886,1642,2210,2677,,,,,,,,2207,1959,2412,7625,,,,,,,,,,
29,0,1249,1174,1737,1169,748,1900,966,1423,2648,2579,2473,1394,3622,1829,1886,1645,2210,2695,2479,4545,2406,4467,1259,1478,3506,2105,1960,2411,7669,10751,3994,4056,6669,6682,,,,,
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2492,4548,2407,4468,1259,1477,3712,2180,1966,2415,7686,,,,,,,,,,
31,0,1237,1172,1732,1167,746,1899,962,1421,2644,2574,2468,1393,3617,1828,1880,1641,2207,2691,2471,4539,2401,4458,1214,1519,3501,2178,1964,2417,7685,10775,4005,4062,6685,6699,,,,,
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2487,4540,2401,4454,1215,1519,3704,2090,1964,2415,7685,10775,4004,4066,6683,6698,,,,,
33,0,1236,1170,1735,1167,747,1899,962,1421,2644,2575,2468,1393,3617,1829,1880,1641,2208,2691,2474,4534,2403,4461,1213,1520,3706,2092,1965,2415,7684,,,,,,,,,,
34,0,1240,1172,1732,1169,746,1899,959,1424,2643,2576,2467,1392,3617,1829,1879,1642,2208,2692,2469,4540,2402,4459,1212,1520,3501,2171,1955,2470,,,,,,,,,,,
35,0,1245,1173,1731,1169,747,1897,964,1422,2644,2575,2468,1393,3619,1827,1881,1640,2210,2454,,,,,,,,2082,1958,2482,,,,,,,,,,,
36,0,1236,1169,1729,1166,747,1893,960,1420,2646,2571,2464,1391,3613,1824,1877,1640,2205,2688,2468,4531,2399,4455,1213,1515,3700,2185,1968,2484,,,,,,,,,,,
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2486,4525,2402,4452,1258,1473,3702,2095,1970,2495,,,,,,,,,,,
38,0,1237,1169,1730,1166,746,1896,958,1420,2644,2571,2466,1391,3613,1821,1880,1642,2201,2689,2470,4530,2398,4457,1213,1512,3704,2090,1963,2414,7682,10768,4000,4062,6678,6690,,,,,
39,0,1239,1169,1726,1168,748,1892,962,1419,2645,2575,2464,1391,3611,1825,1877,1639,2207,2686,2470,4530,2395,4456,1213,1513,3701,2206,1965,2414,7683,10764,4000,4061,6677,6688,,,,,
40,0,1228,1159,1711,1155,738,1875,949,1406,2611,2545,2440,1375,3575,1808,1859,1622,2179,2660,2443,4485,2373,4410,1242,1459,3461,2106,1964,2477,,,,,,,,,,,
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2457,4487,2373,4409,1201,1503,3677,2180,1961,2479,,,,,,,,,,,
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2462,4486,2375,4408,1200,1502,3664,,,,,,,,,,,,,,
43,0,1231,1155,1716,1153,738,1877,949,1404,2613,2545,2439,1376,3576,1806,1861,1622,2176,2662,2445,4484,2376,4408,1203,1500,3661,,,,,,,,,,,,,,
44,0,1225,1157,1711,1156,737,1877,948,1405,2613,2543,2440,1376,3574,1808,1858,1624,2177,2661,2443,4487,2374,4411,1201,,,,,,,,,,,,,,,,
45,0,1232,1160,1710,1156,737,1877,949,1406,2610,2528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,1291,1210,1790,1209,771,1965,992,1468,2731,2664,2550,1441,3740,1890,1945,1696,2279,2784,2558,4691,2480,4614,1257,1570,3850,,,,,,,,,,,,,,
47,0,1288,1209,1790,1211,771,1963,994,1468,2731,2645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0,1291,1211,1788,1211,771,1964,993,1469,2730,2662,2555,1440,3741,1888,1947,1696,2283,2783,2557,4691,2482,4613,1300,1527,3834,,,,,,,,,,,,,,
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2572,4691,2479,4615,1300,1527,3622,,,,,,,,,,,,,,
50,0,1283,1210,1789,1209,773,1964,992,1469,2729,2665,2552,1440,3740,1890,1946,1696,2280,2784,2556,4692,2479,4613,1259,,,,,,,,,,,,,,,,
51,0,0,0,0,0,0,0,1024,1468,2730,2662,2550,1442,3742,1889,1948,1694,2278,2785,2555,4690,2482,4614,1254,1571,3618,,,,,,,,,,,,,,
52,0,1282,1211,1789,1208,773,1964,994,1469,2727,2664,2555,1439,3743,1888,1945,1695,2283,2780,2559,4691,2482,4614,1252,1572,3745,,,,,,,,,,,,,,
53,0,1252,1173,1735,1170,747,1903,961,1424,2647,2580,2470,1395,3622,1831,1884,1643,2209,2696,2477,4545,2405,4467,1217,1521,3730,,,,,,,,,,,,,,
54,0,1250,1172,1736,1171,747,1901,963,1424,2648,2562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0,1251,1175,1732,1173,746,1903,961,1425,2646,2578,2474,1394,3622,1829,1886,1642,2213,2694,2477,4546,2406,4466,1259,1479,3713,,,,,,,,,,,,,,
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2492,4546,2404,4468,1260,1480,3735,,,,,,,,,,,,,,
57,0,1244,1173,1734,1170,749,1902,961,1425,2647,2580,2471,1395,3622,1830,1885,1643,2209,2696,2475,4548,2404,4467,1219,1214,3989,,,,,,,,,,,,,,
58,0,1243,1174,1734,1170,748,1902,963,1424,2645,2579,2473,1394,3625,1829,1883,1643,2211,2693,2478,4545,2407,4467,1212,1523,3628,,,,,,,,,,,,,,
59,0,1223,1151,1702,1150,732,1869,943,1400,2600,2532,2425,1369,3557,1797,1848,1614,2171,2645,2430,4463,2361,4384,1236,1452,3643,,,,,,,,,,,,,,
60,0,1221,1152,1702,1149,735,1866,943,1399,2600,2533,2425,1369,3556,1796,1848,1614,2170,2413,,,,,,,,,,,,,,,,,,,,,
61,0,1227,1152,1701,1150,736,1865,944,1400,2600,2531,2426,1369,3557,1796,1848,1615,2170,2409,,,,,,,,,,,,,,,,,,,,,
62,0,1219,1152,1702,1148,736,1866,945,1399,2600,2532,2425,1370,3558,1794,1849,1614,2170,2647,2430,4462,2360,4385,1194,1494,3643,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,2442,4463,2360,4386,1235,1452,3695,,,,,,,,,,,,,,
64,0,1219,1152,1704,1148,733,1870,944,1398,2601,2531,2426,1368,3558,1798,1849,1613,2172,2645,2430,4463,2359,4385,1192,1496,3689,,,,,,,,,,,,,,
65,0,1221,1154,1702,1148,736,1866,943,1401,2600,2531,2425,1370,3558,1796,1849,1615,2167,2414,,,,,,,,,,,,,,,,,,,,,
66,0,1227,1151,1704,1147,735,1867,944,1398,2603,2517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,0,1221,1152,1703,1151,731,1867,947,1397,2600,2531,2425,1369,3555,1796,1849,1611,2172,2408,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,2598,2532,2426,1371,3556,1797,1849,1613,2171,2647,2431,4460,2362,4385,1234,1452,3442,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,2485,4530,2398,4453,1213,1516,3700,,,,,,,,,,,,,,
70,,,,,,,,983,1419,2639,2571,2460,1396,3608,1825,1880,1640,2201,2688,2467,4533,2396,4457,1209,1515,3498,,,,,,,,,,,,,,
71,,,,,,,,,,,,2480,1393,3612,1825,1877,1639,2203,2688,2469,4533,2398,4454,1253,1475,3494,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,2485,4533,2397,4456,1210,1516,3699,,,,,,,,,,,,,,
73,0,1238,1171,1730,1164,746,1896,957,1420,2638,2572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,0,1244,1172,1729,1166,746,1896,958,1419,2639,2572,2460,1393,3613,1824,1879,1637,2207,2687,2465,4533,2399,4456,1210,,,,,,,,,,,,,,,,
75,0,1239,1169,1730,1169,745,1894,961,1419,2637,2571,2463,1393,,,,,,,,,,,,,,,,,,,,,,,,,,,
