Record Number,CSMTH,MSDH,SNRDH,DKRD,RRD,CTGN,SVE,VDLR,GTBN,CHF,CLA,TKNG,CMBR,GV,MNKD,VSH,SNPD,JNJ,NEU,SWDV,BEPR,KHAG,MANR,KNDS,PNVL
1,0,1256,1104,693,1259,1050,1784,2124,2574,1587,2042,1254,1252,1644,2021,7484,1177,1883,2484,1408,2405,2342,2923,1908,3290
2,0,1259,1105,695,1259,1051,1785,2125,2572,1588,2042,1256,1255,1639,2020,7483,1178,1880,2487,1408,2405,2339,2920,1909,3287
3,0,1264,1102,696,1258,1050,1782,2126,2573,1588,2040,1254,1255,1640,2023,7482,1174,1885,2487,1407,2405,2340,2923,1907,3287
4,0,1259,1100,692,1252,1046,1776,2115,2555,1581,2029,1248,1245,1633,2011,7445,1176,1877,2481,1399,2395,2342,2920,1910,3292
5,0,1265,1102,695,1258,1048,1784,2126,2570,1589,2041,1253,1254,1641,2024,7483,1174,1883,2487,1407,2407,2341,2921,1906,3288
6,0,1264,1100,696,1258,1048,1783,2125,2573,1587,2040,1256,1252,1642,2023,7485,1176,1885,2485,1405,2407,2343,2923,1906,3286
7,0,1264,1103,695,1258,1048,1783,2126,2571,1588,2039,1256,1252,1642,2021,7482,1176,1883,2483,1406,2406,2340,2920,1908,3285
8,0,1264,1103,696,1259,1051,1784,2125,2573,1588,2042,1255,1254,1642,2022,7485,1176,1883,2485,1407,2409,2342,2923,1905,3288
9,0,1264,1104,694,1257,1049,1783,2127,2570,1587,2042,1254,1253,1642,2021,7480,1175,1883,2484,1405,2405,2342,2921,1905,3286
10,0,1258,1101,691,1252,1045,1774,2114,2559,1578,2030,1248,1245,1634,2011,7447,1174,1879,2479,1400,2397,,,,
11,0,1261,1098,693,1252,1045,1774,2113,,,,,,,,,,,,,,,,,
12,0,1259,1100,692,1252,1046,1776,2115,2555,1581,2029,1248,1245,1633,2011,7445,1176,1877,2481,1399,2395,,,,
13,0,1258,1102,688,1250,1048,1774,2113,2559,1577,2028,1248,1246,1629,2014,7446,1173,1878,2477,1399,2393,2330,2914,1902,3283
14,0,1257,1097,693,1251,1047,1774,2115,,,,,,,,,,,,,,,,,
15,0,,,,,,,,2623,1577,2031,1248,1245,1632,2012,7446,1173,1876,2479,1400,2395,,,,
16,0,1252,1098,692,1252,1045,1775,2114,2556,1582,2025,1250,1245,1633,2012,7447,1174,1878,2479,1401,2389,2334,2914,1903,3279
17,0,1260,1097,691,1253,1046,1773,2115,2557,1579,2028,1248,1246,1632,2012,7447,,,,,,,,,
18,0,,,690,1252,1048,1770,2118,2559,1581,2029,1252,1245,1635,2011,7449,1168,1877,2479,1403,2389,2334,2914,1904,3281
19,0,,,,,,,,2624,1578,2031,1249,1247,1636,2010,7451,1173,1880,2474,1401,2400,,,,
20,0,1259,1101,690,1253,1047,1773,2117,2547,1581,2031,1251,1246,1632,2014,7449,1174,1877,2479,1402,2392,2333,2913,1903,3274
21,0,1252,1098,694,1253,1047,1772,2117,2560,1578,2027,1248,1248,,,,,,,,,,,,
22,0,1252,1099,693,1252,1046,1774,2117,2559,1581,2030,1250,1247,1621,2010,7453,1184,,,,,,,,
23,0,1255,1101,694,1254,1049,1779,2121,2564,1584,2032,1254,1247,1636,2018,7469,1176,1884,2483,1405,2398,2339,2920,1906,3288
24,0,1262,1103,693,1256,1048,1778,2118,,,,,,,,,,,,,,,,,
25,0,1263,1102,695,1256,1049,1776,2122,2566,1584,2035,1254,1252,1638,2017,7476,1176,1881,2486,1406,2399,2340,2923,1906,3287
