Record Number,TNA,DIGH,AIRL,RABE,GNSL,KPHN,TUH,JNJ,NEU_THB,SWDV,BEPR,KHAG,MANR,KNDS,PNVL
1,0,3294,2626,2480,2321,1525,3183,2257,2485,1404,2397,2335,2918,1904,3282
2,0,3297,2622,2478,2324,1523,3180,2259,2483,,,,,,
3,0,3296,2622,2479,2323,1524,3180,2257,2468,1405,2397,2336,2914,1904,3279
4,0,3297,2628,2479,2322,1524,3183,2257,2486,,,,,,
5,0,3295,2624,2479,2324,1523,3182,2258,2485,,,,,,
6,0,3301,2625,2479,2323,1523,3183,2255,2486,,,,,,
7,0,3296,2625,2481,2323,1522,3185,2257,2486,1402,2394,2337,2915,1905,3284
8,0,3296,2625,2481,2325,1525,3185,2260,2488,1405,2397,2336,2921,1906,3287
9,0,3301,2627,2479,2325,1522,3186,2259,2490,1404,2396,2336,2922,1905,3291
10,0,3300,2625,2480,2324,1523,3182,2266,2487,1406,2396,2337,2922,1906,3284
11,0,3295,2621,2474,2317,1520,3177,2260,2484,1402,2389,2334,2916,1902,3282
12,0,3289,2624,2472,2317,1520,3179,2259,2484,1403,2389,2334,2915,1904,3285
13,0,3291,2619,2474,2318,1520,3177,2258,2484,1403,2391,2333,2914,1904,3282
14,0,3297,2623,2476,2317,1523,3177,2261,2488,1399,2391,2335,2916,1903,3282
15,0,3295,2622,2475,2319,1521,3178,2262,2484,1403,2393,2334,2916,1905,3280
16,0,3305,2639,2487,2332,1530,3196,2264,2490,1413,2404,2345,2927,1908,3294
17,0,3302,2635,2489,2331,1531,3194,2265,2493,1409,2404,2346,2925,1907,3294
