Record Number,TNA,DIGH,AIRL,RABE,GNSL,KPHN,TUH,SNPD,VSH_THB
1,0,3293,2623,2479,2323,1527,3182,2039,1176
2,0,3296,2625,2478,2321,1526,3182,2042,1173
3,0,3293,2624,2478,2322,1524,3183,2040,1176
4,0,3299,2622,2479,2324,1523,3185,2039,1176
5,0,3295,2628,2476,2324,1523,3184,2039,1175
6,0,3293,2623,2479,2323,1527,3182,2039,1176
7,0,3296,2625,2478,2321,1526,3182,2042,1173
8,0,3293,2624,2478,2322,1524,3183,2040,1176
9,0,3299,2622,2479,2324,1523,3185,2039,1176
10,0,3295,2628,2476,2324,1523,3184,2039,1175
11,0,3291,2628,2477,2323,1525,3184,2040,1175
12,0,3295,2629,2480,2322,1526,3183,2043,1176
13,0,3300,2626,2480,2324,1522,3187,2042,1178
14,0,3302,2628,2479,2324,1523,3185,2041,1176
15,0,3296,2624,2473,2314,1521,3176,2040,1169
16,0,3296,2625,2474,2318,1520,3179,2039,1177
17,0,3296,2621,2476,2319,1521,3180,2033,1179
18,0,3301,2638,2492,2332,1529,3196,2050,1181
19,0,3307,2636,2490,2330,1531,3196,2051,1180
