Record Number,GMN,RMAR,JOS,ADH,VLP,STC,KHR,BA,MM,KCE,VDLR,SVE,CTGN,RRD,DKRD,SNRDH,MSDH,CSMTH
1,0,1440,1230,2313,2201,1823,1623,1696,1602,1517,2049,2062,1775,1035,1280,677,1108,1251
2,0,1437,1230,2313,2201,1823,1622,1697,1602,1517,2049,2062,1775,1035,1278,678,1107,1249
3,0,1437,1231,2314,2201,1824,1623,1695,1603,1518,2049,2061,1777,1033,1280,680,1106,1250
4,0,1440,1227,2317,2201,1823,1623,1695,1604,1516,2075,2036,1776,1034,1281,677,1106,1252
5,0,1440,1229,2313,2203,1822,1622,1697,1602,1517,2050,2062,1775,1034,1280,677,1107,1252
6,0,1439,1231,2313,2202,1822,1624,1697,1600,1517,2048,2063,1775,1034,1280,679,1106,1253
7,0,1439,1231,2314,2201,1824,1622,1697,1603,1515,2048,2061,1776,1032,1280,678,1106,1252
8,0,1438,1230,2314,2203,1821,1625,1694,1603,1517,2072,2036,1776,1033,1280,678,1105,1252
9,0,1442,1235,2320,2211,1828,1629,1701,1608,1520,2052,2067,1783,1036,1282,680,1109,1252
10,0,1440,1236,2320,2208,1830,1627,1701,1607,1520,2077,2044,1781,1036,1280,682,1107,1258
11,0,1442,1237,2317,2211,1831,1627,1700,1608,1516,2056,2067,1781,1036,1279,684,1107,1255
12,0,1434,1228,2308,2200,1822,1620,1698,1601,1517,2048,2062,1776,1034,1279,679,1105,1255
13,0,1436,1226,2310,2200,1822,1620,1697,1601,1519,2047,2062,1776,1035,1280,678,1107,1251
14,0,1438,1228,2307,2201,1822,1622,1695,1604,1515,2050,2053,1776,1035,1280,677,1107,1251
15,0,1443,1234,2321,2207,1828,1628,1700,1608,1520,2054,2068,1780,1035,1283,680,1109,1252
16,0,1436,1231,2311,2199,1821,1618,1694,1600,1517,2044,2061,1773,1031,1278,676,1105,1250
17,0,1437,1229,2311,2199,1822,1620,1693,1601,1514,2046,2060,1773,1031,1275,676,1105,1247
