Record Number,KSRA,OMB,KE,THS,ATG,ASO,VSD,KDV,TLA,ABY,SHD,KYN,DI,DW,MBQ,KLVA,TNA,MLND,BND,VK,GC,CLA,SION,MTN,DR,PR,BY,CSMT
1,0,6842,6485,6140,5934,9668,5883,7664,7586,4773,3052,3155,5175,,,,15046,,,,13887,3826,,,6486,,4757,4239
2,0,6840,6476,6123,5926,9655,5869,7646,7564,4765,3047,3011,5101,,,,15003,,,,13869,3823,,,6473,,4839,4088
3,0,6844,6472,6122,5924,9652,5871,7642,7563,4766,3045,3011,5123,,,,14998,,,,13857,3824,,,6468,,4837,4116
4,0,6860,6488,6136,5946,9672,5874,7660,7578,4775,3050,3023,5199,,,,15081,,,,13923,3838,,,6494,,4858,4148
5,0,6860,6488,6142,5941,9674,5883,7668,7585,4776,3053,3021,5200,,,,15085,,,,13930,3836,,,6510,,4859,4145
6,0,6856,6492,6143,5945,9681,5888,7671,7588,4780,3054,3022,5168,,,,15035,2609,,,11267,3825,,,6481,,4735,4244
7,0,6857,6491,6143,5944,9679,5888,7669,7588,4779,3053,3023,5102,,,,15002,2613,,,11247,3827,,,6473,,4832,4087
8,0,6824,6465,6111,5916,9636,5860,7636,7557,4760,3043,3138,5101,,,,15000,2606,,,11241,3819,,,6462,,4830,4084
9,0,6831,6489,6136,5940,9667,5884,7664,7584,4774,3053,3155,5176,5617,,,9387,2608,,7506,3740,3820,,,6473,,4745,4233
10,0,6851,6478,6130,5934,9664,5873,7653,7572,4769,3050,3143,5302,,,,14992,2608,,,11232,3817,,,6464,,4739,4228
11,,,,,,,,,,,,,5199,,,,14750,2563,,,11025,3759,,,6358,,4621,4130
12,,,,,,,,,,,,,5067,5520,,,9258,2564,,7395,3682,3764,,,6377,,4646,4143
13,,,,,,,,,,,,,5199,5645,,,9444,2624,,7551,3761,3837,,,6514,,4766,4255
14,,,,,,,,,,,,,5193,5643,,,9438,2624,,7546,3760,3834,,,6506,,4760,4249
15,,,,,,,,,,,,,5175,5782,,,9421,,,,14044,3836,,,6493,,4857,4145
16,,,,,,,,,,,,,4884,5617,,,9407,2611,,,11255,3821,,,6478,,4850,4125
17,,,,,,,,,,,,,5169,5765,,,9526,2618,,,11271,3829,,,6490,,4860,4136
18,,,,,,,,,,,,,5198,,,,15050,,,,13889,3828,,,6382,,4872,4241
19,,,,,,,,,,,,,5180,5620,,,9405,2614,,,11253,3823,,,6477,,4854,4132
20,,,,,,,,,,,,,5169,5619,,,9403,2610,,,11237,3824,,,6477,,4852,4131
21,,,,,,,,,,,,,5172,5074,,,9949,2613,,,11256,3824,,,6476,,4753,4230
22,,,,,,,,,,,,,5156,5262,,,9452,,7029,,7406,3822,,,6479,,4853,4095
23,,,,,,,,,,,,,5170,,,,15025,2612,,,11256,3824,,,6479,,4752,4232
24,,,,,,,,,,,,,5157,,,,15009,2607,,,11242,3821,,,6467,,4830,4123
25,,,,,,,,,,,,,5178,5611,,,9408,2612,,,11250,3824,,,6477,,4840,4127
26,,,,,,,,,,,,,5173,,,,15020,,,,13859,3825,,,6471,,4733,4238
27,,,,,,,,,,,,,5058,5805,,,9589,,,,13980,3824,,,6522,,4892,4164
28,,,,,,,,,,,,,5174,5783,,,9418,,,,14034,3833,,,6496,,4855,4141
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,5167,,,,15025,,,,13867,3825,,,6476,,4854,4131
31,,,,,,,,,,,,,5171,,,,15023,,,,13867,3824,,,6477,,4851,4128
32,,,,,,,,,,,,,5156,5262,,,9889,,6592,,7406,3822,,,6479,,4853,4095
33,,,,,,,,,,,,,5118,5555,,,9296,2580,,,11130,3778,,,6404,,4793,4047
