Record Number,KSRA,OMB,KE,THS,ATG,ASO,VSD,KDV,TLA,ABY,SHD,KYN,THK,DI,KOPR,DW,MBQ,KLVA,TNA,MLND,NHU,BND,KJRD,VK,GC,VVH,CLA,SION,MTN,DR,PR,CRD,CHG,BY,SNRD,MSD,CSMT
1,0,6842,6485,6140,5934,9668,5883,7664,7586,4773,3052,3155,3590,1435,1297,4472,2407,4536,2465,2704,2211,1632,1900,1829,3675,1339,2491,2569,2639,1245,1185,1859,748,1086,1819,1179,1244
2,0,6840,6476,6123,5926,9655,5869,7646,7564,4765,3047,3011,3748,1440,1303,4490,2414,4554,2474,2713,2220,1641,1906,1834,3694,1343,2502,2577,2653,1248,1188,1868,752,1090,1824,1183,1243
3,0,6844,6472,6122,5924,9652,5871,7642,7563,4766,3045,3011,3588,1438,1301,4479,2408,4543,2465,2708,2215,1638,1902,1830,3687,1337,2497,2572,2647,1246,1185,1863,750,1086,1821,1179,1244
4,0,6860,6488,6136,5946,9672,5874,7660,7578,4775,3050,3023,3746,1443,1303,4488,2412,4555,2471,2714,2220,1642,1903,1836,3694,1344,2500,2575,2654,1249,1187,1869,753,1087,1824,1183,1244
5,0,6860,6488,6142,5941,9674,5883,7668,7585,4776,3053,3021,3746,1439,1305,4489,2412,4554,2471,2715,2218,1642,1908,1833,3693,1344,2502,2577,2654,1249,1187,1867,752,1088,1827,1182,1245
6,0,6856,6492,6143,5945,9681,5888,7671,7588,4780,3054,3022,3507,1439,1300,4478,2407,4542,2464,2709,2211,1636,1904,1830,3685,1341,2495,2571,2645,1247,1185,1862,753,1084,1820,1180,1245
7,0,6857,6491,6143,5944,9679,5888,7669,7588,4779,3053,3023,,,,,,,0,2450,2210,1633,1900,1827,3681,1337,2491,2565,2641,1244,,,,,,,
8,0,6824,6465,6111,5916,9636,5860,7636,7557,4760,3043,3138,3495,1432,1297,4465,2401,4527,2459,2699,2208,1633,1897,1823,3672,1336,2487,2564,2638,1242,1182,1856,749,1082,1813,1176,1243
9,0,6831,6489,6136,5940,9667,5884,7664,7584,4774,3053,3155,,,,,,,0,2446,2208,1634,1895,1822,3674,1335,2487,2564,2636,1242,1179,1854,749,1081,1814,1177,1240
10,0,6851,6478,6130,5934,9664,5873,7653,7572,4769,3050,3143,3496,1432,1296,4465,2402,4527,2457,2696,2210,1633,1893,1825,3672,1337,2488,2561,2639,1241,1182,1856,750,1080,1814,1177,1236
11,,,,,,,,,,,,,3726,1433,1296,4463,2401,4527,2459,2697,2211,1629,1896,1825,3671,1336,2487,2561,2638,1241,1182,1853,751,1083,1813,1176,1235
12,,,,,,,,,,,,,,,1216,4464,2401,4531,2460,2699,2209,1632,1897,1824,3673,1334,2489,2562,2640,1241,1183,1856,748,1082,1815,1178,1242
13,,,,,,,,,,,,,,,,,,,0,2662,2209,1633,1897,1823,3673,1336,2488,2560,2640,1241,1183,1855,748,1083,1814,1176,1243
14,,,,,,,,,,,,,3495,1432,1296,4466,2401,4531,2491,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,0,1208,4472,2407,4537,2463,2705,2210,1633,1900,1828,3680,1336,2491,2567,2642,1243,1174,,,,,,
16,,,,,,,,,,,,,,0,1209,4473,2405,4539,2462,2706,2212,1634,1901,1825,3678,1340,2490,2567,2643,1243,1186,1856,751,1083,1818,1178,1241
17,,,,,,,,,,,,,,,,,,,0,2705,2212,1635,1899,1827,3680,1336,2493,2566,2642,1245,1181,1862,750,1084,1818,1177,1242
18,,,,,,,,,,,,,,,,,,,0,2667,2213,1635,1899,1826,3678,1338,2490,2568,2641,1244,1185,1857,751,1084,1816,1179,1250
19,,,,,,,,,,,,,3499,1435,1299,4473,2405,4537,2500,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,3730,1437,1301,4471,2404,4538,2465,2701,2216,1634,1898,1826,3678,1338,2492,2567,2643,1244,1170,,,,,,
21,,,,,,,,,,,,,,,1208,4475,2406,4537,2462,2703,2211,1636,1900,1825,3680,1338,2491,2565,2643,1242,1184,1860,749,1082,1820,1177,1253
22,,,,,,,,,,,,,3581,1429,1296,4462,2403,4530,2460,2698,2210,1631,1897,1823,3673,1334,2485,2562,2636,1240,1181,1855,748,1082,1818,1178,1243
23,,,,,,,,,,,,,3684,1416,1282,4416,2375,4479,2430,2668,2182,1615,1875,1802,3634,1318,2461,2533,2608,1229,1167,1835,740,1067,1794,1161,1234
24,,,,,,,,,,,,,3657,1416,1282,4414,2376,4478,2432,2668,2184,1613,1874,1804,3632,1320,2459,2535,2607,1229,1167,1833,741,1069,1793,1162,1227
25,,,,,,,,,,,,,,0,1197,4417,2373,4480,2430,2671,2184,1612,1873,1804,3633,1320,2461,2533,2609,1226,1169,1836,739,1069,1794,1163,1228
26,,,,,,,,,,,,,3708,1481,1340,4620,2485,4686,2547,2789,2287,1688,1962,1884,3799,1380,2576,2648,2730,1284,1223,1918,775,1119,1876,1214,1283
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,2647,2733,1281,1221,1920,777,1116,1877,1216,1286
28,,,,,,,,,,,,,3827,1482,1339,4621,2485,4687,2582,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,3856,1478,1341,4620,2485,4686,2546,2789,2288,1687,1962,1884,3801,1382,2573,2650,2729,1283,1222,1919,775,1118,1875,1217,1285
30,,,,,,,,,,,,,,,1254,4618,2485,4688,2546,2790,2285,1687,1964,1886,3798,1382,2575,2649,2730,1283,1211,,,,,,
31,,,,,,,,,,,,,3610,1483,1339,4629,2477,4686,2546,2791,2282,1691,1960,1887,3799,1382,2575,2649,2726,1291,1217,1917,777,1118,1875,1218,1286
32,,,,,,,,,,,,,3921,1481,1340,4620,2485,4688,2546,2788,2286,1690,1961,1885,3800,1381,2575,2649,2729,1286,1219,1921,776,1114,1877,1217,1287
33,,,,,,,,,,,,,3591,1433,1298,4473,2405,4535,2466,2701,2215,1634,1899,1825,3679,1336,2494,2565,2643,1244,1186,1857,750,1084,1818,1176,1242
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,2564,2646,1241,1183,1859,752,1081,1819,1178,1245
35,,,,,,,,,,,,,3706,1435,1297,4473,2406,4536,2499,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,3734,1432,1298,4473,2406,4535,2466,2700,2215,1634,1900,1825,3680,1338,2491,2567,2643,1242,1185,1858,750,1083,1817,1179,1244
37,,,,,,,,,,,,,3495,1436,1297,4482,2397,4534,2466,2702,2210,1637,1897,1828,3678,1338,2493,2565,2640,1250,1180,1857,751,1084,1816,1181,1244
38,,,,,,,,,,,,,3589,1434,1297,4473,2405,4537,2465,2699,2214,1637,1898,1825,3679,1337,2493,2565,2643,1245,1182,1860,751,1079,1818,1180,1245
39,,,,,,,,,,,,,3435,1408,1275,4389,2360,4444,2417,2652,2172,1605,1862,1794,3608,1315,2445,2519,2593,1221,1162,1825,736,1063,1784,1157,1221
40,,,,,,,,,,,,,3522,1408,1275,4387,2360,4452,2419,2655,2170,1605,1865,1791,3612,1312,2445,2520,2593,1220,1163,1824,737,1063,1784,1158,1220
41,,,,,,,,,,,,,,,,,,,0,2406,2172,1605,1862,1793,3609,1313,2447,2518,2592,1223,1160,1825,738,1063,1783,1156,1223
42,,,,,,,,,,,,,3521,1411,1270,4391,2362,4452,2419,2653,2171,1603,1866,1790,3612,1313,2446,2518,2592,1222,1163,1824,735,1063,1782,1158,1222
43,,,,,,,,,,,,,,,,,,,0,2403,2170,1605,1865,1793,3610,1312,2445,2520,2593,1220,1163,1822,737,1064,1782,1156,1224
44,,,,,,,,,,,,,3436,1407,1273,4391,2361,4454,2419,2648,2173,1605,1862,1795,3609,1312,2448,2519,2592,1221,1162,1824,737,1064,1784,1156,1221
45,,,,,,,,,,,,,,,,,,,0,2405,2171,1606,1863,1794,3608,1315,2446,2519,2592,1224,1161,1825,734,1065,1783,1157,1222
46,,,,,,,,,,,,,,,,,,,0,2653,2172,1604,1865,1793,3608,1314,2439,2518,2595,1220,1161,1822,737,1066,1782,1158,1221
47,,,,,,,,,,,,,,,,,,,0,2403,2170,1605,1864,1791,3610,1314,2445,2518,2594,1220,1162,1823,736,1065,1783,1156,1222
48,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2518,2595,1216,1160,1826,735,1063,1785,1156,1221
49,,,,,,,,,,,,,3484,1432,1293,4454,2395,4519,2452,2695,2201,1629,1892,1818,3663,1333,2480,2559,2631,1239,1166,,,,,,
50,,,,,,,,,,,,,3718,1431,1293,4458,2397,4522,2489,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,2659,2204,1630,1891,1821,3668,1332,2483,2558,2634,1239,1180,1852,746,1082,1809,1175,1241
52,,,,,,,,,,,,,3585,1430,1292,4459,2399,4520,2491,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,3720,1430,1293,4457,2398,4521,2456,2694,2205,1630,1893,1820,3666,1334,2483,2557,2634,1238,1167,,,,,,
54,,,,,,,,,,,,,3488,1430,1292,4459,2399,4520,2455,2696,2203,1627,1894,1822,3665,1333,2486,,,,,,,,,,
55,,,,,,,,,,,,,3489,1430,1293,4458,2397,4520,2456,2695,2204,1630,1892,1820,3667,1333,2485,2556,2633,1241,1177,1852,748,1080,1811,1172,1241
56,,,,,,,,,,,,,3716,1434,1290,4458,2397,4522,2491,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,3575,1432,1294,4456,2398,4523,2455,2693,2205,1630,1892,1820,3668,1333,2481,2560,2631,1243,1177,1851,747,1080,1811,1173,1242
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,2555,2634,1239,1181,1851,747,1081,1810,1175,1241
59,,,,,,,,,,,,,,,1207,4458,2398,4520,2457,2694,2206,1629,1893,1820,3667,1333,2485,2556,2633,1239,1180,1852,748,1080,1810,1175,1239
60,,,,,,,,,,,,,,,,,,,,,,,,,,1386,2483,2559,2633,1240,1183,1850,746,1082,1809,1173,1238
61,,,,,,,,,,,,,,,1207,4457,2400,4521,2457,2693,2203,1631,1892,1818,3669,1332,2483,2558,2635,1239,1180,1851,748,1080,1809,1173,1243
62,,,,,,,,,,,,,3719,1430,1292,4459,2399,4518,2456,2695,2205,1628,1892,1823,3664,1336,2483,2557,2634,1240,1179,1854,747,1077,1811,1175,1245
63,,,,,,,,,,,,,3487,1430,1293,4458,2398,4520,2457,2695,2204,1630,1894,1822,3666,1333,2484,2556,2635,1238,1181,1852,747,1079,1811,1176,1239
64,,,,,,,,,,,,,,,1207,4458,2398,4522,2455,2693,2204,1630,1893,1820,3668,1333,2484,2557,2634,1240,1179,1852,747,1081,1810,1174,1235
65,,,,,,,,,,,,,,,,,,,,2447,2210,1630,1898,1823,3674,1337,2488,2562,2639,1242,1174,,,,,,
66,,,,,,,,,,,,,,,1209,4467,2404,4531,2462,2700,2211,1632,1897,1826,3671,1337,2490,2561,2639,1242,1183,1854,750,1083,1813,1178,1241
67,,,,,,,,,,,,,3494,1435,1295,4468,2405,4533,2494,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,3584,1435,1295,4467,2406,4534,2460,2700,2208,1634,1899,1823,3674,1335,2489,2565,2638,1243,1174,,,,,,
69,,,,,,,,,,,,,3730,1433,1295,4466,2407,4533,2460,2697,2211,1634,1898,1822,3676,1335,2489,2561,2540,1246,1181,1857,747,1084,1815,1175,1247
70,,,,,,,,,,,,,3728,1433,1294,4467,2401,4528,2459,2701,2207,1632,1899,1822,3674,1336,2489,2561,2640,1242,1180,1856,751,1080,1809,1177,1241
71,,,,,,,,,,,,,,,,,,,,2445,2210,1633,1898,1823,3674,1334,2490,,,,,,,,,,
72,,,,,,,,,,,,,3585,1431,1295,4468,2404,4527,2463,2699,2211,1632,1893,1826,3671,1338,2489,2561,2638,1242,1183,1855,745,1085,1813,1177,1251
73,,,,,,,,,,,,,3580,1436,1296,4470,2401,4535,2460,2704,2208,1634,1899,1824,3675,1338,2491,2566,2638,1244,1182,1858,750,1082,1811,1176,1244
74,,,,,,,,,,,,,3497,1435,1296,4469,2402,4533,2461,2701,2212,1636,1898,1827,3678,1338,2490,2566,2641,1242,1180,1857,750,1084,1811,1176,1239
75,,,,,,,,,,,,,3497,1436,1298,4474,2407,4536,2463,2704,2211,1637,1899,1825,3678,1339,2492,2567,2643,1244,1173,,,,,,
76,,,,,,,,,,,,,3500,1437,1301,4444,2408,4539,2496,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,3500,1436,1298,4474,2405,4536,2464,2703,2208,1640,1895,1832,3679,1337,2494,2564,2644,1245,1172,,,,,,
78,,,,,,,,,,,,,3502,1437,1299,4477,2406,4537,2466,2703,2216,1636,1901,1829,3682,1338,2493,2570,2642,1239,1167,,,,,,
79,,,,,,,,,,,,,3504,1436,1299,4476,2409,4541,2463,2710,2212,1638,1902,1831,3682,1336,2498,2569,2646,1237,1169,,,,,,
80,,,,,,,,,,,,,3502,1438,1299,4479,2407,4534,2500,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,3737,1437,1298,4478,2408,4538,2465,2705,2215,1638,1902,1829,3682,1339,2494,2569,2647,1235,1181,1861,751,1086,1811,1176,1244
82,,,,,,,,,,,,,,,,,,,,2450,2215,1637,1904,1826,3681,1338,2495,2569,2644,1238,1184,1858,754,1084,1812,1176,1246
83,,,,,,,,,,,,,3736,1438,1298,4477,2404,4536,2464,2705,2214,1638,1901,1827,3681,1340,2495,2571,2644,1237,1181,1860,751,1086,1811,1177,1238
84,,,,,,,,,,,,,,,,,,,,2704,2214,1635,1901,1827,3679,1337,2495,2567,2643,1239,1182,1859,751,1084,1813,1176,1239
85,,,,,,,,,,,,,,,,,,,,2705,2213,1637,1899,1830,3680,1338,2495,2565,2647,1237,1177,1862,751,1085,1811,1176,1242
86,,,,,,,,,,,,,,,,,,,,2450,2214,1636,1900,1828,3678,1337,2496,2566,2644,1237,1183,1858,751,1085,1811,1175,1251
87,,,,,,,,,,,,,3739,1434,1301,4476,2407,4540,2464,2709,2212,1635,1905,1827,3681,1338,2496,2572,2643,1242,1180,1861,752,1085,1816,1174,1248
88,,,,,,,,,,,,,3245,1436,1300,4478,2409,4537,2467,2706,2214,1639,1902,1828,3683,1342,2496,2568,2643,1241,1182,1862,750,1085,1816,1177,1251
89,,,,,,,,,,,,,,,1214,4477,2407,4541,2465,2706,2219,1631,1905,1824,3684,1341,2494,2568,2647,1238,1182,1859,751,1086,1816,1179,1244
90,,,,,,,,,,,,,3600,1436,1300,4477,2407,4545,2465,2705,2217,1638,1898,1829,3684,1339,2495,2567,2647,1239,1181,1864,749,1087,1817,1177,1245
91,,,,,,,,,,,,,3501,1434,1299,4474,2405,4541,2493,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,3603,1436,1298,4474,2411,4540,2463,2707,2212,1638,1900,1828,3682,1339,2495,2566,2647,1239,1183,1861,751,1082,1819,1176,1245
93,,,,,,,,,,,,,3732,1437,1295,4478,2410,4538,2464,2707,2210,1636,1902,1827,3679,1337,2494,2567,2642,1243,1181,1862,745,1085,1815,1177,1243
94,,,,,,,,,,,,,,,,,,,,2451,2212,1637,1898,1830,3676,1340,2492,2569,2641,1240,1182,1859,752,1082,1816,1177,1234
95,,,,,,,,,,,,,3492,1431,1297,4466,2401,4523,2460,2698,2212,1632,1895,1825,3672,1335,2488,2563,2638,1235,1179,1857,748,1082,1811,1174,1241
96,,,,,,,,,,,,,,,1212,4465,2400,4527,2459,2699,2209,1632,1896,1823,3673,1335,2489,2557,2644,1234,1178,1859,747,1082,1809,1172,1240
97,,,,,,,,,,,,,3728,1432,1296,4465,2400,4527,2459,2699,2209,1634,1894,1824,3673,1333,2490,2561,2638,1236,1180,1856,750,1082,1810,1174,1242
98,,,,,,,,,,,,,3492,1431,1297,4466,2401,4523,2460,2698,2212,1632,1895,1825,3672,1335,2488,2563,2638,1235,1179,1857,748,1082,1811,1174,1241
99,,,,,,,,,,,,,,,1212,4465,2400,4527,2459,2699,2209,1632,1896,1823,3673,1335,2489,2557,2644,1234,1178,1859,747,1082,1809,1172,1240
100,,,,,,,,,,,,,3728,1432,1296,4465,2400,4527,2459,2699,2209,1634,1894,1824,3673,1333,2490,2561,2638,1236,1180,1856,750,1082,1810,1174,1242
101,,,,,,,,,,,,,3491,1434,1295,4462,2401,4525,2460,2698,2209,1632,1898,1821,3672,1336,2489,2561,2636,1239,1178,1854,746,1084,1811,1175,1239
102,,,,,,,,,,,,,3493,1432,1298,4465,2400,4526,2459,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,3494,1435,1294,4468,2401,4527,2460,2702,2210,1631,1897,1826,3673,1334,2491,,,,,,,,,,
