Record Number,KHPI,LWJ,DLY,KLY,PDI,KJT,BVS,NRL,SHELU,VGI,BUD,ABH,ULNR,VLDI,KYN,DI,DW,MBQ,KLVA,TNA,MLND,BND,VK,GC,CLA,SION,MTN,DR,PR,BY,CSMT
1,0,2468,3171,1261,4312,3018,6667,6699,4001,3979,10766,7540,2484,1963,2212,5175,,,,15046,,,,13887,3826,,,6486,,4757,4239
2,0,2465,3119,1238,4237,3018,6763,6700,4003,3981,10778,7545,2484,1966,2199,5101,,,,15003,,,,13869,3823,,,6473,,4839,4088
3,0,2462,3116,1244,4236,3018,6670,6701,4003,3980,10778,7543,2487,1966,2199,5123,,,,14998,,,,13857,3824,,,6468,,4837,4116
4,,,,,,0,,,,,,7597,2488,1965,2213,5199,,,,15081,,,,13923,3838,,,6494,,4858,4148
5,,,,,,0,6709,6728,4018,3995,10763,7626,2490,1968,2215,5200,,,,15085,,,,13930,3836,,,6510,,4859,4145
6,,,,,,0,6792,6727,4018,3996,10763,7626,2495,1965,2217,5168,,,,15035,2609,,,11267,3825,,,6481,,4735,4244
7,,,,,,0,6702,6722,4013,3991,10738,7620,2486,1967,2199,5102,,,,15002,2613,,,11247,3827,,,6473,,4832,4087
8,,,,,,0,,,,,,7600,2485,1967,2213,5101,,,,15000,2606,,,11241,3819,,,6462,,4830,4084
9,,,,,,0,,,,,,7552,2484,1965,2213,5176,5617,,,9387,2608,,7506,3740,3820,,,6473,,4745,4233
10,,,,,,0,6699,6721,4011,3994,10750,7616,2488,1965,2216,5302,,,,14992,2608,,,11232,3817,,,6464,,4739,4228
11,,,,,,,,,,,,7594,2484,1966,2212,5199,,,,14750,2563,,,11025,3759,,,6358,,4621,4130
12,,,,,,0,6702,6717,4013,3990,10752,7609,2488,1965,2213,5067,5520,,,9258,2564,,7395,3682,3764,,,6377,,4646,4143
13,,,,,,0,6826,6716,4014,3991,10741,7617,2489,1963,2213,5199,5645,,,9444,2624,,7551,3761,3837,,,6514,,4766,4255
14,,,,,,0,6696,6716,4012,3991,10742,7614,2487,1964,2202,5193,5643,,,9438,2624,,7546,3760,3834,,,6506,,4760,4249
15,,,,,,0,6702,6716,4014,3990,10742,7619,2487,1963,2213,5175,5782,,,9421,,,,14044,3836,,,6493,,4857,4145
16,,,,,,,,,,,,7472,2445,1932,2176,4884,5617,,,9407,2611,,,11255,3821,,,6478,,4850,4125
17,,,,,,0,6572,6607,3945,3927,10568,7491,2446,1933,2163,5169,5765,,,9526,2618,,,11271,3829,,,6490,,4860,4136
18,,,,,,0,,,,,,7462,2446,1932,2176,5198,,,,15050,,,,13889,3828,,,6382,,4872,4241
19,,,,,,,,,,,,,2430,1933,2164,5180,5620,,,9405,2614,,,11253,3823,,,6477,,4854,4132
20,,,,,,0,,,,,,7555,2488,1963,2216,5169,5619,,,9403,2610,,,11237,3824,,,6477,,4852,4131
