Record Number,PNVL,KNDS,MANR,KHAG,BEPR,SWDV,NEU,JNJ,SNPD,VSH,MNKD,GV,CMBR,TKNG,CLA,CHF,GTBN,VDLR,SVE,CTGN,RRD,DKRD,SNRDH,MSDH,CSMTH
1,0,3307,1926,2927,2356,2421,1416,2507,1881,1175,7508,2042,1644,1258,1252,1951,1682,2670,2055,1790,1042,1289,683,1116,1262
2,0,3301,1924,2932,2351,2420,1418,2510,1880,1175,7513,2038,1645,1257,1254,1950,1680,2672,2055,1789,1041,1290,683,1114,1262
3,0,3307,1926,2928,2354,2425,1410,2510,1881,1173,7511,2040,1647,1258,1251,1952,1681,2673,2053,1788,1042,1291,682,1115,1262
4,0,3310,1925,2929,2353,2420,1415,2510,1883,1170,7513,2041,1644,1257,1252,1952,1679,2673,2053,1790,1042,1289,685,1113,1264
5,0,3283,1915,2917,2342,2415,1413,2497,1877,1163,7493,2032,1635,1250,1245,1944,1671,2664,2044,1786,1036,1284,678,1113,1261
6,0,3288,1916,2916,2340,2413,1408,2497,1875,1162,7479,2028,1633,1248,1245,1941,1669,2662,2042,1784,1037,1282,681,1109,1257
7,0,3283,1916,2915,2344,2415,1410,2499,1875,1164,7487,2033,1639,1252,1248,1943,1670,2661,2044,1784,1039,1284,678,1115,1255
8,0,3292,1917,2920,2345,2418,1415,2503,1878,1167,7503,2038,1642,1254,1254,1949,1673,2666,2049,1790,1039,1289,681,1119,1262
9,0,3287,1918,2917,2342,2418,1409,2497,1878,1167,7483,2031,1637,1253,1248,1944,1673,2663,2044,1782,1039,1284,679,1112,1259
10,0,3292,1917,2916,2340,2418,1409,2499,1875,1167,7491,2034,1641,1252,1248,1943,1674,2662,2046,1784,1038,1284,682,1111,1260
11,0,3293,1917,2919,2342,2417,1410,2499,1876,1164,7492,2032,1642,1253,1247,1945,1672,2665,2047,1787,1037,1285,680,1113,1256
12,0,3282,1920,2919,2343,2418,1409,2500,1876,1168,7494,2036,1642,1254,1246,1945,1674,2663,2047,1788,1039,1286,680,1112,1261
13,0,3294,1917,2919,2345,2417,1411,2501,1877,1166,7495,2034,1642,1254,1246,1945,1674,2664,2050,1788,1037,1286,681,1113,1257
14,0,3294,1917,2920,2343,2418,1411,2500,1875,1166,7495,2036,1642,1252,1247,1944,1673,2664,2048,1786,1037,1287,680,1113,1258
15,0,3274,1908,2906,2335,2406,1407,2488,1868,1161,7445,2019,1627,1242,1241,1933,1664,2633,,,,,,,
16,,,,,,,,,,0,7497,2040,1644,1257,1250,1952,1677,2668,2051,1790,1042,1289,683,1116,1261
17,,,,,,,,,,0,7474,2026,1634,1252,1244,1942,1667,2659,2040,1784,1035,1283,680,1108,1262
18,,,,,0,2429,1414,2509,1883,1173,7511,2041,1645,1257,1251,1951,1680,2672,2053,1789,1041,1290,684,1115,1263
19,,,,,,,,,,,7478,2032,1635,1251,1243,1941,1672,2657,2043,1782,1038,1280,678,1110,1259
20,0,3273,1908,2902,2334,2397,1402,2487,1865,1161,7446,2020,1631,1247,1239,1935,1663,2649,2035,1774,1032,1278,675,1107,1248
21,0,3276,1909,2902,2332,2398,1401,2485,1865,1161,7443,2021,1630,1246,1241,1932,1664,2647,2034,1774,1031,1276,679,1103,1258
22,0,3278,1908,2902,2332,2396,1403,2485,1865,1160,7444,2021,1631,1245,1239,1935,1665,2645,2036,1773,1031,1278,677,1104,1255
23,0,3273,1909,2901,2327,2397,1400,2487,1866,1164,7440,2022,1631,1245,1241,1932,1665,2646,2035,1773,1032,1278,678,1105,1253
24,0,3278,1906,2903,2332,2396,1402,2486,1864,1160,7444,2024,1628,1247,1239,1930,1664,2648,2036,1775,1032,1277,677,1104,1246
25,0,3280,1908,2901,2333,2398,1401,2487,1866,1161,7443,2021,1630,1247,1240,1931,1666,2645,2035,1774,1032,1277,678,1104,1248
26,0,3279,1913,2909,2338,2409,1406,2495,1868,1160,7474,2027,1630,1248,1242,1933,1667,2655,2037,1782,1033,1282,679,1106,1259
27,0,3276,1910,2905,2337,2405,1404,2492,1867,1162,7455,2021,1628,1246,1243,1935,1665,2652,2035,1779,1031,1279,677,1106,1254
28,0,3274,1909,2906,2334,2404,1407,2490,1870,1164,7454,2021,1628,1243,1243,1934,1665,2648,2035,1776,1034,1275,677,1106,1256
29,0,3277,1910,2905,2336,2404,1408,2490,1869,1163,7457,2022,1629,1247,1244,1933,1665,2653,2034,1778,1036,1278,675,1110,1252
30,0,3278,1911,2903,2337,2406,1406,2492,1867,1162,7457,2020,1630,1245,1241,1935,1664,2651,2034,1779,1034,1278,679,1104,1256
31,0,3277,1912,2909,2336,2410,1408,2494,1867,1161,7473,2025,1630,1245,1243,1935,1668,2653,2038,1785,1036,1281,679,1108,1255
32,,,,,0,2399,1401,2487,1865,1160,7446,2021,1630,1248,1239,1934,1664,2648,2035,1772,1033,1278,677,1106,1249
33,,,,,,,,,,,7438,2020,1631,1245,1243,1932,1664,2646,2036,1774,1032,1279,675,1104,1253
34,,,,,,,0,2489,1867,1164,7447,2024,1631,1248,1241,1935,1667,2650,2036,1775,1031,1280,679,1105,1250
35,,,,,0,2410,1400,2488,1868,1163,7448,2021,1634,1245,1242,1935,1666,2649,2038,1774,1033,1277,678,1107,1250
36,,,,,,,,,,,,,,,,,,,2061,1776,1032,1278,679,1104,1252
37,,,,,0,2407,1402,2489,1865,1164,7448,2022,1631,1248,1241,1934,1666,2649,2037,1774,1032,1278,680,1103,1253
38,0,3276,1911,2903,2334,2400,1401,2488,1867,1161,7448,2024,1631,1248,1240,1937,1665,2650,2036,1774,1033,1279,678,1105,1250
39,,,,,,,,,,,,,,,,,,,2064,1775,1034,1278,679,1105,1254
40,,,,,0,2416,1410,2496,1880,1164,7493,2030,1636,1244,1247,1951,1671,2639,,,,,,,
41,,,,,0,2412,1409,2498,1878,1163,7491,2033,1640,1253,1250,1947,1675,2665,2046,1788,1041,1287,681,1114,1262
42,,,,,,,,,,,7490,2034,1640,1254,1249,1948,1679,2667,2048,1789,1041,1288,681,1115,1261
43,0,3292,1923,2920,2350,2411,1411,2501,1880,1168,7498,2033,1642,1260,1248,1948,1677,2670,2051,1790,1040,1287,683,1114,1262
44,,,,,,,,,,,,,,1255,1251,1952,1675,2671,2051,1791,1040,1290,681,1115,1260
45,,,,,,,,,,,,,,,,,,,2073,1790,1041,1289,681,1116,1259
46,0,3291,1922,2920,2350,2412,1410,2501,1880,1167,7495,2037,1645,1253,1252,1948,1675,2667,2049,1791,1040,1288,682,1114,1262
47,,,,,,,,,,,,,,,,,,,2073,1790,1040,1289,680,1116,1259
48,0,3291,1925,2923,2345,2415,1406,2501,1880,1164,7497,2035,1643,1255,1251,1948,1675,2666,2048,1790,1040,1288,681,1114,1258
49,,,,,0,2413,1410,2498,1879,1163,7494,2034,1640,1255,1247,1949,1675,2665,2046,1789,1039,1287,682,1110,1262
50,,,,,,,,,,,7486,2036,1636,1251,1250,1946,1676,2662,2046,1788,1041,1287,683,1100,1260
51,,,,,,,,,,,,,,,,,,,2073,1789,1039,1287,681,1113,1263
52,,,,,,,,,,,,,,,,,,,2074,1790,1038,1291,681,1115,1261
53,0,3291,1924,2920,2346,2414,1415,2494,,,,,,,,,,,,,,,,,
54,0,3292,1925,2922,2346,2413,1411,2503,1880,1167,7497,2037,1645,1258,1248,1950,1677,2666,2051,1788,1041,1290,681,1116,1260
55,0,3290,1924,2919,2347,2413,1408,2502,1881,1165,7496,2038,1642,1256,1249,1948,1676,2665,2050,1790,1040,1290,681,1114,1262
56,,,,,,,,,,,,,,,,,,,2070,1790,1041,1279,682,1116,1259
57,,,,,,,,,,,,,,,,,,,2074,1788,1042,1288,680,1116,1259
58,0,3277,1906,2900,2329,2398,1398,2485,1863,1161,7437,2019,1629,1245,1239,1931,1663,2623,,,,,,,
59,0,3274,1910,2899,2330,2396,1400,2483,1867,1158,7438,2020,1629,1243,1240,1931,1662,2646,2033,1771,1031,1276,676,1104,1251
