Record Number,PNVL,KNDS,MANR,KHAG,BEPR,SWDV,NEU_THB,JNJ,TUH,KPHN,GNSL,RABE,AIRL,DIGH,TNA
1,0,3275,1917,2905,2337,2405,1411,2484,2250,3189,1528,2316,2490,2618,3286
2,0,3281,1916,2909,2340,2402,1411,2484,2253,3191,1524,2318,2480,2618,3287
3,,,,,,,,2484,2252,3189,1527,2316,2490,2617,3285
4,0,3277,1918,2906,2339,2405,1411,2484,2251,3187,1529,2314,2491,2614,3290
5,,,,,,,,2486,2251,3190,1527,2315,2492,2617,3283
6,,,,,,,,2485,2252,3189,1526,2316,2490,2620,3283
7,,,,,,,,2486,2249,3190,1529,2315,2490,2614,3280
8,0,3285,1916,2913,2340,2407,1412,2486,2257,3190,1528,2316,2493,2620,3296
9,0,3284,1915,2905,2337,2405,1413,2484,2257,3188,1524,2315,2488,2620,3289
10,0,3280,1911,2905,2340,2404,1411,2487,2257,3186,1523,2319,2485,2620,3289
11,0,3279,1909,2903,2333,2402,1408,2483,2254,3183,1522,2312,2481,2616,3284
12,0,3281,1910,2902,2334,2398,1414,2484,2253,3182,1522,2311,2485,2615,3283
13,0,3276,1911,2902,2334,2399,1409,2482,2254,3174,1526,2313,2482,2616,3281
14,0,3282,1909,2902,2336,2398,1408,2484,2254,3181,1521,2311,2484,2617,3281
15,0,3282,1911,2903,2335,2402,1410,2482,2257,3182,1524,2313,2483,2617,3290
16,0,3277,1912,2902,2335,2402,1410,2483,2256,3183,1520,2314,2485,2620,3286
17,0,3276,1910,2902,2340,2399,1410,2484,2257,3180,1523,2314,2484,2619,3284
18,0,3289,1925,2916,2347,2409,1413,2491,2262,3199,1532,2319,2497,2622,3298
19,0,3285,1915,2913,2342,2404,1412,2489,2257,3191,1525,2318,2493,2621,3290
