Record Number,VSH_THB,SNPD,TUH,KPHN,GNSL,RABE,AIRL,DIGH,TNA
1,0,1178,2031,3190,1527,2314,2492,2617,3289
2,0,1174,2033,3189,1525,2316,2491,2617,3280
3,0,1180,2031,3191,1523,2316,2490,2617,3280
4,0,1178,2031,3189,1526,2315,2491,2616,3287
5,0,1177,2029,3192,1525,2316,2490,2616,3291
6,0,1180,2030,3189,1528,2315,2490,2617,3289
7,0,1174,2026,3186,1520,2309,2481,2616,3281
8,0,1177,2027,3184,1522,2308,2488,2621,3285
9,0,1168,2028,3184,1522,2315,2485,2621,3283
10,0,1182,2035,3201,1531,2322,2497,2623,3298
11,0,1183,2035,3201,1531,2322,2495,2625,3299
12,0,1181,2035,3198,1533,2323,2497,2620,3301
