Train,TrainCode,Type,Route,Direction,FromExpected,ToExpected,Notes
A1,96301,1,SE,DN,CSMT,ABH,
C1,97601,1,MAIN,DN,CSMT,CLA,
N1,96401,1,NE,DN,CSMT,KSRA,
S1,96101,1,SE,DN,CSMT,KJT,
T1,97301,1,MAIN,DN,CSMT,TNA,
TS1,96103,1,SE,DN,TNA,KJT,
TK1,97001,1,MAIN,DN,TNA,KYN,
CTL1,96601,1,NE,DN,CSMT,TLA,
N3,96403,1,NE,DN,CSMT,KSRA,
TDL1,97201,1,MAIN,DN,CSMT,DI,
KP1,95001,2,SE,DN,CSMT,KHPI,
CT1,97303,1,MAIN,DN,CSMT,TNA,
TS3,96105,1,SE,DN,TNA,KJT,
TTL1,96603,1,NE,DN,TNA,TLA,
S3,96107,1,SE,DN,CSMT,KJT,
TAN1,96503,1,NE,DN,TNA,ASO,
CBL1,96201,1,SE,DN,VVH,BUD,
K1,97003,1,MAIN,DN,CSMT,KYN,
CK1,97005,1,MAIN,DN,CLA,KYN,
N5,96405,1,NE,DN,CSMT,KSRA,
AN1,96505,1,NE,DN,CSMT,ASO,
A3,96303,1,SE,DN,CSMT,ABH,
K3,95701,2,MAIN,DN,CSMT,KYN,
TK3,97007,1,MAIN,DN,TNA,KYN,
TL1,96605,1,NE,DN,CSMT,TLA,
CK3,97009,1,MAIN,DN,CLA,KYN,
A5,96305,1,SE,DN,CSMT,ABH,
S5,95101,2,SE,DN,CSMT,KJT,
CK5,97011,1,MAIN,DN,CLA,KYN,
TL3,96607,1,NE,DN,CSMT,TLA,
CK7,97013,1,MAIN,DN,CLA,KYN,
AN3,96507,1,NE,DN,CSMT,ASO,
K5,95703,2,MAIN,DN,CSMT,KYN,
S7,95103,2,SE,DN,CSMT,KJT,
CK9,97015,1,MAIN,DN,CLA,KYN,
PK1,97017,1,MAIN,DN,PR,KYN,
TL5,96609,1,NE,DN,CSMT,TLA,
CA1,96307,1,SE,DN,CLA,ABH,
DL1,97203,1,MAIN,DN,CSMT,DI,
BL1,95201,2,SE,DN,CSMT,BUD,
PK3,97019,1,MAIN,DN,PR,KYN,
TL7,96611,1,NE,DN,CSMT,TLA,
CDL1,97205,1,MAIN,DN,CLA,DI,
KAN1,96501,1,NE,DN,KYN,ASO,
KAN3,96509,1,NE,DN,KYN,ASO,
K7,97021,1,MAIN,DN,CSMT,KYN,
T3,97305,1,MAIN,DN,CSMT,TNA,
A7,96309,1,SE,DN,CSMT,ABH,
S9,95105,2,SE,DN,CSMT,KJT,
CK11,97023,1,MAIN,DN,CLA,KYN,
N7,95401,2,NE,DN,CSMT,KSRA,
TL9,96613,1,NE,DN,CSMT,TLA,
T5,97307,1,MAIN,DN,CSMT,TNA,
BL3,95203,2,SE,DN,CSMT,BUD,
K9,97025,1,MAIN,DN,CSMT,KYN,
T7,97309,1,MAIN,DN,CSMT,TNA,
DL3,97207,1,MAIN,DN,CSMT,DI,
K11,95705,2,MAIN,DN,CSMT,KYN,
K13,97027,1,MAIN,DN,CSMT,KYN,
AN5,95501,2,NE,DN,CSMT,ASO,
T9,97311,1,MAIN,DN,CSMT,TNA,
KP3,95003,2,SE,DN,CSMT,KHPI,
K15,97029,1,MAIN,DN,CSMT,KYN,
DL5,97209,1,MAIN,DN,CSMT,DI,
AN7,96511,1,NE,DN,CSMT,ASO,
K17,95707,2,MAIN,DN,CSMT,KYN,
T11,97313,1,MAIN,DN,CSMT,TNA,
BL5,95205,2,SE,DN,CSMT,BUD,
PK5,97031,1,MAIN,DN,PR,KYN,
K19,97033,1,MAIN,DN,CSMT,KYN,
T13,97315,1,MAIN,DN,CSMT,TNA,
T15,95901,2,MAIN,DN,CSMT,TNA,
TTL3,96615,1,NE,DN,TNA,TLA,
PK7,97035,1,MAIN,DN,PR,KYN,
T17,97317,1,MAIN,DN,CSMT,TNA,
K21,97037,1,MAIN,DN,CSMT,KYN,
S11,95107,2,SE,DN,CSMT,KJT,
T19,97319,1,MAIN,DN,CSMT,TNA,
DL7,97211,1,MAIN,DN,CSMT,DI,
TTL5,96617,1,NE,DN,TNA,TLA,
PT1,97321,1,MAIN,DN,PR,TNA,
DA1,95301,2,SE,DN,DR,ABH,
T21,97323,1,MAIN,DN,CSMT,TNA,
C3,97603,1,MAIN,DN,CSMT,CLA,
N9,95403,2,NE,DN,CSMT,KSRA,
K23,95709,2,MAIN,DN,CSMT,KYN,
CK13,97039,1,MAIN,DN,CLA,KYN,
G1,97501,1,MAIN,DN,CSMT,GC,
C5,97605,1,MAIN,DN,CSMT,CLA,
